GENERAL|ALL|7f8WM,r1bqk2r/ppp3pp/2n1p3/3p4/1bPPp3/4PN2/PP1BBPPP/R2QK2R w KQkq - 0 9,d2b4 e4f3 e2f3 c6b4 d1a4 b4c6 c4d5 e6d5,1825,75,94,2090,advantage intermezzo opening veryLong,https://lichess.org/3vYsm81i#17,Indian_Defense Indian_Defense_Knights_Variation,
GENERAL|ALL|VLgdq,5bk1/5pp1/p3p2p/qb2N3/1n1PB3/6P1/5P1P/1Q4K1 b - - 3 33,a5a2 e4h7 g8h8 e5f7,1112,79,93,2937,deflection mate mateIn2 middlegame short,https://lichess.org/gNrkrgBF/black#66,,
GENERAL|ALL|LKtnM,4r1k1/ppp2p1p/2nqr1p1/3p4/3P2B1/2P1P2P/PP3QP1/4RRK1 b - - 3 20,e6f6 f2f6 d6f6 f1f6,646,102,72,216,crushing middlegame short,https://lichess.org/BGwq5XaX/black#40,,
GENERAL|ALL|UlpKx,r2q1k1r/pp4pp/3bPn2/4p3/1nQ5/2N1B3/P4PPP/R2R2K1 b - - 0 17,b4c2 d1d6 d8d6 e3c5 d6c5 c4c5,1738,75,82,75,crushing long master middlegame pin sacrifice,https://lichess.org/CX5O6Dn8/black#34,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted,
GENERAL|ALL|sECUu,8/1p2Q1k1/p7/2pPp2r/2P1q1p1/1P4P1/P7/5BK1 b - - 10 49,g7g8 e7e8 g8g7 e8h5,1250,76,98,3688,crushing endgame fork short,https://lichess.org/lUSpylyH/black#98,,
GENERAL|ALL|EV5It,k7/8/p1K5/1p6/1P6/P7/8/8 b - - 1 51,a8a7 c6c7 a6a5 a3a4 b5a4 b4b5 a4a3 b5b6 a7a6 b6b7,2566,81,82,134,advancedPawn crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/JxzGCqcH/black#102,,
GENERAL|ALL|VhnmA,r2q1rk1/pp1n1ppp/5n2/1Q1p2B1/3Np3/2P1P3/PP3PPP/R3K2R w KQ - 1 13,b5b7 d7c5 b7c6 a8c8 g5f6 g7f6 c6b5 c5d3,2325,89,45,74,advantage middlegame veryLong,https://lichess.org/sbFF8rkI#25,English_Opening English_Opening_Kings_English_Variation,
GENERAL|ALL|4Tm2p,8/1p3Qpk/3N2np/2P5/p2P4/3R2P1/5PKP/1q2r3 w - - 1 32,d6f5 g6f4 g3f4 e1g1 g2f3 b1d3,2502,78,100,108,advantage endgame long sacrifice,https://lichess.org/6GwXqKp8#63,,
GENERAL|ALL|aD0XO,1rb2N2/pp1npk2/3n2p1/5rP1/8/1B3P2/PPP3P1/2KR3R b - - 0 23,f7f8 h1h8 f8g7 h8g8 g7h7 d1h1,1475,113,88,22,long mate mateIn3 middlegame,https://lichess.org/jSwAxp9p/black#46,,
GENERAL|ALL|6XeCT,5rk1/5p2/r5pp/pp2R2n/2p4Q/P1N2q2/BPP4P/R5K1 w - - 0 24,c3b5 h5f4 h4g3 f4h3 g3h3 f3h3,2252,76,87,272,crushing kingsideAttack long middlegame quietMove xRayAttack,https://lichess.org/JcKdfYI5#47,,
GENERAL|ALL|x0lH2,3qr3/8/p1Rr1b2/1p1k1Q2/3pp3/6p1/PP4BP/5RK1 b - - 1 40,e8e5 g2e4,1543,83,91,3284,master mate mateIn1 middlegame oneMove,https://lichess.org/bAw0ZZvG/black#80,,
GENERAL|ALL|DOlwc,8/8/4k3/3R2P1/4K3/5P2/8/r7 w - - 1 56,f3f4 a1e1 e4f3 e6d5,1214,89,91,275,crushing deflection endgame rookEndgame short,https://lichess.org/IOASyeeN#111,,
GENERAL|ALL|CnsUd,r4rk1/pp1n1ppp/4p1b1/4N3/2B5/PPn3BP/1q3PP1/R3QRK1 b - - 7 20,d7e5 g3e5 c3e2 e1e2 b2e2 c4e2,1818,74,81,96,advantage long middlegame,https://lichess.org/rmO7quDo/black#40,,
GENERAL|ALL|lCXRE,6k1/2q2p1p/6p1/1QNrb3/1P1N3B/6PP/5P1K/8 b - - 0 35,e5d4 b5e8 g8g7 h4e7,2216,78,71,179,advantage defensiveMove endgame master short,https://lichess.org/XAnwf6ze/black#70,,
